GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
trabalgodelivrey,enums,EnumPedido,114,0,0,0,14,0,3,0,3,0
trabalgodelivrey,dao,ProdutoDAO,98,553,9,5,23,47,12,5,7,3
trabalgodelivrey,desconto,Cupom30,18,0,2,0,7,0,3,0,2,0
trabalgodelivrey,desconto,Cupom50,18,0,2,0,7,0,3,0,2,0
trabalgodelivrey,desconto,Desconto,24,0,0,0,10,0,7,0,7,0
trabalgodelivrey,desconto,Dinheiro,18,0,2,0,7,0,3,0,2,0
trabalgodelivrey,imposto,Imposto3,18,0,2,0,7,0,3,0,2,0
trabalgodelivrey,imposto,Imposto,24,0,0,0,10,0,7,0,7,0
trabalgodelivrey,imposto,Imposto2,18,0,2,0,7,0,3,0,2,0
trabalgodelivrey,imposto,Imposto1,18,0,2,0,7,0,3,0,2,0
trabalgodelivrey,builder,CestaTopBuilder,379,0,0,0,34,0,3,0,3,0
trabalgodelivrey,builder,CestaPremiumBuilder,288,0,0,0,27,0,3,0,3,0
trabalgodelivrey,builder,CestaBasicaBuilder,0,132,0,0,0,15,0,3,0,3
trabalgodelivrey,builder,Diretor,4,10,0,0,2,5,1,2,1,2
trabalgodelivrey,model,ItemPedido,28,27,0,0,12,7,8,2,8,2
trabalgodelivrey,model,Cliente,15,0,0,0,6,0,3,0,3,0
trabalgodelivrey,model,Produto,24,21,0,0,6,8,4,3,4,3
trabalgodelivrey,state,Pedido,64,37,0,0,26,11,19,2,19,2
trabalgodelivrey,state,StateReembolsado,14,0,0,0,6,0,4,0,4,0
trabalgodelivrey,state,StatePedidoProntoEntrega,18,0,0,0,6,0,4,0,4,0
trabalgodelivrey,state,StatePedidoNovo,176,4,10,0,37,2,14,1,9,1
trabalgodelivrey,state,StateAbstrato,0,6,0,0,0,3,0,1,0,1
trabalgodelivrey,state,StatePedidoConfirmado,27,0,0,0,8,0,5,0,5,0
trabalgodelivrey,state,StateCanceladoPedido,65,0,2,0,15,0,6,0,5,0
trabalgodelivrey,state,StateCanceladoEstabelecimento,65,0,2,0,15,0,6,0,5,0
trabalgodelivrey,state,StatePedidoEmRotaParaEntrega,18,0,0,0,6,0,4,0,4,0
trabalgodelivrey,state,StateEntregue,14,0,0,0,6,0,4,0,4,0
trabalgodelivrey,state,StateAguardandoPagamento,54,0,2,0,13,0,7,0,6,0
